rule_id,zip_start,zip_end,market_tier,priority,source,source_url,source_version_date,notes
urban_bellevue_core,98000,98099,urban,10,CENSUS_ZCTA+USZIP_REFERENCE,https://www.unitedstateszipcodes.org/washington/,2026-03-04,"Eastside Seattle premium corridor."
urban_portland_core,97200,97299,urban,10,CENSUS_ZCTA+USZIP_REFERENCE,https://www.unitedstateszipcodes.org/oregon/,2026-03-04,"Portland core."
urban_nashville_core,37200,37299,urban,10,CENSUS_ZCTA+USZIP_REFERENCE,https://www.unitedstateszipcodes.org/tennessee/,2026-03-04,"Nashville core."
value_midwest_nd,58000,58899,value,50,CENSUS_ZCTA+USZIP_REFERENCE,https://www.unitedstateszipcodes.org/north-dakota/,2026-03-04,"Lower dispatch pressure bands."
value_midwest_sd,57000,57799,value,50,CENSUS_ZCTA+USZIP_REFERENCE,https://www.unitedstateszipcodes.org/south-dakota/,2026-03-04,"Lower dispatch pressure bands."
value_midwest_ne,68000,69399,value,50,CENSUS_ZCTA+USZIP_REFERENCE,https://www.unitedstateszipcodes.org/nebraska/,2026-03-04,"Lower dispatch pressure bands."
value_midwest_ks,66000,67999,value,50,CENSUS_ZCTA+USZIP_REFERENCE,https://www.unitedstateszipcodes.org/kansas/,2026-03-04,"Lower dispatch pressure bands."
value_midwest_ia,50000,52899,value,50,CENSUS_ZCTA+USZIP_REFERENCE,https://www.unitedstateszipcodes.org/iowa/,2026-03-04,"Lower dispatch pressure bands."
value_south_ok,73000,74999,value,50,CENSUS_ZCTA+USZIP_REFERENCE,https://www.unitedstateszipcodes.org/oklahoma/,2026-03-04,"Value-oriented suburban/rural spread."
value_south_ar,71600,72999,value,50,CENSUS_ZCTA+USZIP_REFERENCE,https://www.unitedstateszipcodes.org/arkansas/,2026-03-04,"Value-oriented suburban/rural spread."
value_south_ms,38600,39799,value,50,CENSUS_ZCTA+USZIP_REFERENCE,https://www.unitedstateszipcodes.org/mississippi/,2026-03-04,"Value-oriented suburban/rural spread."
