"priority","page_type","slug","primary_query","current_title_tag","recommended_title_tag","recommended_h1","recommended_meta_description","first_paragraph_draft","confidence_tier","rewrite_status"
"11","rule","/dumpster/fill-line-rules-for-heavy-debris/","heavy debris fill line rules","Heavy Debris Fill Line Rules: Avoid Refusals and Extra Fees","Heavy Debris Fill Line Rules: Avoid Refusals and Extra Fees","Heavy Debris Fill Line Rules","See why heavy debris cannot always be loaded to the top and what to confirm before pickup to avoid refusals or overfill charges.","Why do heavy-debris fill-line rules matter? Overfilling dense material is a common reason for pickup refusal, delays, and avoidable extra cost.","Medium","implemented"
"12","comparison","/dumpster/dumpster-vs-junk-removal/","dumpster vs junk removal","Dumpster vs Junk Removal: Which Costs Less for Heavy Debris?","Dumpster vs Junk Removal: Which Costs Less for Heavy Debris?","Dumpster vs Junk Removal","Compare dumpster rental and junk removal by load size labor and urgency. Find the safer lower-cost path for your cleanup scenario.","Dumpster vs junk removal: which costs less for your job? Compare route choice by labor, speed, and heavy-load feasibility before booking.","High","implemented"
"13","comparison","/dumpster/bagster-vs-dumpster/","bagster vs dumpster","Bagster vs Dumpster: Weight Limits Cost and Best Fit","Bagster vs Dumpster: Weight Limits Cost and Best Fit","Bagster vs Dumpster","See when a bagster is enough and when a roll-off dumpster is safer. Compare capacity limits weight risk and total cost tradeoffs.","Bagster vs dumpster: which is the safer fit? Bag options can work for small light cleanups, but heavy or uncertain loads usually favor roll-off dumpsters.","High","implemented"
"14","comparison","/dumpster/one-20-yard-vs-two-10-yard/","one 20 yard vs two 10 yard dumpster","One 20-Yard vs Two 10-Yard Dumpsters: Which Is Safer?","One 20-Yard vs Two 10-Yard Dumpsters: Which Is Safer?","One 20-Yard vs Two 10-Yard Dumpsters","Compare cost hauling flexibility and weight risk when choosing one larger dumpster versus multiple smaller containers.","One 20-yard or two 10-yard dumpsters? For dense debris, staged smaller hauls often reduce pickup-failure and overage risk.","Medium","implemented"
"15","project","/dumpster/size/bathroom-remodel/","bathroom remodel dumpster size","Bathroom Remodel Dumpster Size: 10 vs 20 Yard Calculator","Bathroom Remodel Dumpster Size: 10 vs 20 Yard Calculator","Bathroom Remodel Dumpster Size Calculator","Estimate bathroom remodel dumpster size from tile drywall and fixture scope. See when heavy tile shifts the safest option upward.","What size dumpster for a bathroom remodel? Start at 10-yard for lighter scope, then size up when tile and mortar dominate the debris mix.","High","implemented"
"16","project","/dumpster/size/roof-tear-off/","roof tear off dumpster size","Roof Tear-Off Dumpster Size Calculator: Squares to Size","Roof Tear-Off Dumpster Size Calculator: Squares to Size","Roof Tear-Off Dumpster Size Calculator","Convert roofing squares into dumpster size and ton range with overage risk cues. Plan safer hauling before your tear-off begins.","What dumpster size is best for a roof tear-off? Convert roofing squares to tonnage first, then pick size based on haul and overage risk.","High","implemented"
"17","project","/dumpster/size/deck-removal/","deck removal dumpster size","Deck Removal Dumpster Size Calculator: Material and Weight Risk","Deck Removal Dumpster Size Calculator: Material and Weight Risk","Deck Removal Dumpster Size Calculator","Estimate deck removal dumpster size by material mix and moisture conditions. See when safer sizing beats low-cost assumptions.","What size dumpster for deck removal? Moisture, hardware, and bulky loading can change the answer quickly, so compare safe and budget options.","High","implemented"
"18","project","/dumpster/size/garage-cleanout/","garage cleanout dumpster size","Garage Cleanout Dumpster Size Calculator: What Size Fits Best?","Garage Cleanout Dumpster Size Calculator: What Size Fits Best?","Garage Cleanout Dumpster Size Calculator","Estimate garage cleanout size by volume and bulky item mix. Compare dumpster rental versus junk removal for risk and convenience.","What dumpster size fits a garage cleanout best? Use realistic bulky-item loading assumptions and compare dumpster versus junk removal based on effort and urgency.","Medium","implemented"
"19","project","/dumpster/size/kitchen-remodel/","kitchen remodel dumpster size","Kitchen Remodel Dumpster Size Calculator: Cabinets Drywall Flooring","Kitchen Remodel Dumpster Size Calculator: Cabinets Drywall Flooring","Kitchen Remodel Dumpster Size Calculator","Estimate kitchen remodel dumpster size by cabinet countertop drywall and flooring removal scope with risk-aware sizing guidance.","What size dumpster for a kitchen remodel? Cabinet, countertop, drywall, and flooring mix can shift weight risk, so choose size from scenario-based estimates.","Medium","implemented"
"20","unit","/dumpster/pickup-truck-loads-to-dumpster-size/","pickup truck loads to dumpster size","Pickup Truck Loads to Dumpster Size Calculator","Pickup Truck Loads to Dumpster Size Calculator","Pickup Truck Loads to Dumpster Size Calculator","Convert pickup truck loads into dumpster size ranges and avoid underestimating cleanup volume before booking.","How many pickup truck loads equal a dumpster size? Use load-count conversion for quick planning, then validate with material-specific weight risk.","High","implemented"
